Timestamp, CPU Usage (%), Logical CPUs, Memory Usage (%), Disk Space Usage (%), Host IP
2023-09-10 05:22:24.365112, 9.7, 4, 89.2%, 41.6%, 192.168.56.1
2023-09-10 05:22:30.391227, 17.5, 4, 88.4%, 41.6%, 192.168.56.1
2023-09-10 05:22:36.412327, 12.4, 4, 89.3%, 41.6%, 192.168.56.1
2023-09-10 05:22:42.420904, 19.8, 4, 88.9%, 41.6%, 192.168.56.1
2023-09-10 05:22:48.429864, 32.1, 4, 89.2%, 41.6%, 192.168.56.1
2023-09-10 05:22:54.430746, 9.8, 4, 89.4%, 41.6%, 192.168.56.1
2023-09-10 05:23:00.450818, 11.4, 4, 89.8%, 41.6%, 192.168.56.1
2023-09-10 05:23:06.465546, 70.8, 4, 91.2%, 41.6%, 192.168.56.1
2023-09-10 05:23:12.485960, 26.2, 4, 90.9%, 41.6%, 192.168.56.1
2023-09-10 05:23:18.507953, 53.9, 4, 91.2%, 41.6%, 192.168.56.1
2023-09-10 05:23:24.515042, 15.8, 4, 90.4%, 41.6%, 192.168.56.1
2023-09-10 05:23:30.519908, 33.6, 4, 88.8%, 41.6%, 192.168.56.1
2023-09-10 05:23:36.537208, 9.8, 4, 86.8%, 41.6%, 192.168.56.1
2023-09-10 05:23:42.561840, 29.2, 4, 87.0%, 41.6%, 192.168.56.1
2023-09-10 05:23:48.575321, 40.2, 4, 87.2%, 41.6%, 192.168.56.1
2023-09-10 05:23:54.589940, 9.8, 4, 86.6%, 41.6%, 192.168.56.1
2023-09-10 05:24:00.623989, 44.2, 4, 88.9%, 41.6%, 192.168.56.1
2023-09-10 05:24:06.643977, 23.7, 4, 85.4%, 41.6%, 192.168.56.1
2023-09-10 05:24:12.667786, 33.8, 4, 84.2%, 41.6%, 192.168.56.1
2023-09-10 05:24:18.703333, 55.7, 4, 85.0%, 41.6%, 192.168.56.1
2023-09-10 05:24:24.732251, 17.4, 4, 86.6%, 41.6%, 192.168.56.1
2023-09-10 05:24:30.753211, 26.9, 4, 86.5%, 41.6%, 192.168.56.1
2023-09-10 05:24:36.775486, 8.2, 4, 86.5%, 41.6%, 192.168.56.1
2023-09-10 05:24:42.789214, 18.4, 4, 87.3%, 41.6%, 192.168.56.1
2023-09-10 05:24:48.800533, 16.0, 4, 83.5%, 41.6%, 192.168.56.1
